Insight_Category,Metric,Impact
Historic Victory,202 seats (83% of total),"NDA secured 3/4th majority, best since 2010"
Voter Turnout Record,67.13% turnout,Highest ever in Bihar electoral history
Gender Gap,"Female: 71.78%, Male: 62.98%",9% gap - women decisive in NDA victory
BJP Emergence,Single largest party with 89 seats,First time BJP is largest party in Bihar assembly
JDU Resurgence,85 seats (up from 43 in 2020),Nitish Kumar factor still strong
RJD Collapse,25 seats (down from 75 in 2020),Worst performance for RJD under Tejashwi
Congress Decline,6 seats (down from 19 in 2020),Congress continues Bihar decline
Chirag Success,19 seats (1900% increase from 2020),"Major winner, validated alliance strategy"
Jan Suraaj Failure,0 seats from 238 contested,Embarrassing debut for Prashant Kishor
EBC Factor,36% of Bihar population,EBC consolidation key to NDA success
Women Power,29 women MLAs (32% success rate),Women welfare schemes paid dividends
Youth Vote,Fragmented across parties,"Youth divided, not consolidated behind MGB"
Caste Consolidation,NDA expanded beyond traditional base,NDA united EBC+Dalit+Upper castes
Muslim Vote Split,"AIMIM won 5 seats, impacted MGB",MGB lost Muslim-heavy seats to NDA/AIMIM
Zero Re-polls,First time in Bihar history,"Smooth, transparent election process"
