Issue,Importance,Benefited_Alliance,Key_Programs
Employment/Jobs,Very High,Mixed,Job promises by both sides
Development & Infrastructure,High,NDA,Double Engine Government narrative
Women Welfare,Very High,NDA,"Mukhyamantri Mahila Rojgar Yojana (Rs 10,000)"
Caste Politics,Very High,NDA,EBC reservation & representation
Law & Order,Medium,NDA,Nitish Kumar's governance record
Migration,High,Mixed,Concerns about youth migration
Agricultural Issues,Medium,Mixed,Agricultural subsidies and support
Education,Medium,Mixed,Education infrastructure
EBC Empowerment,High,NDA,EBC-focused welfare schemes
Anti-Incumbency,Medium,MGB,Anti-Nitish sentiment
